sentence_id,word,cyrillic,gloss,my_gloss
10,ba=k'.-a-da,ба=кI-а-да,HPL=be.PST-CONV-COP,
11,suramu,сураму,hard,сураму<ADJ>
11,zamana,замана,time,
11,bu=k'-ir-a-di,бу=кI-ир-а-ди,N=be-MASD-OBL-ERG,
11,Rebdi-d-a-di,гьибди-д-а-ди,Godoberian-PL-OBLPL-ERG,
11,b=aq'aš̄-ida,б=акъащ-ида,HPL=abduct-HAB,
11,ba=k'.-a-da,ба=кI-а-да,HPL=be.PST-COP,
11,gurži-di,гуржи-ди,Georgian-PL,
12,ce=b,цеб,one=N,це<NUM>><n>
12,hanq'u-č'u,гьанкъу-чIу,house-CONT,
12,hinu-ru(-Xu),гьину-ру(-ху),inside-EL(-TRANS),
12,ha-rdu-ra,гьа-рду-ра,this-OBL.HPL-AFF,гьа<PRON>><h><pl>><aff>
12,anł-a-da,анлъ-а-да,hear.PST-CONV-COP,
12,adami-k-e:-Li,адами-к-е̄-лIи,man-PL-OBLPL-GEN,
12,Xabar,хабар,talk,
13,hanq'u-Li,гьанкъу-лIи,house-GEN,
13,hinc̄-abe,гьинцц-абе,door-PL,
13,hingur-abe,гьингур-абе,window-PL,
13,r=eš̄a=r,рещар,NPL=tight=NPL,
13,ĩh-u,иᴴ-у,do.PST-CONV,
13,hiš̄-u,гьищ-у,shut.PST-CONV,
13,ru=k'-a-da,ру=кI-а-да,NPL=be.PST-CONV-COP,
13,hinu,гьину,inside,
13,b=aʔ-ič'i-bu-c̄imu,б=а-ичIи-бу-цциму,HPL=enter-NEG-PART-GOAL,
13,adami,адами,man/people,
14,hinu,гьину,inside,
14,ma=n-i,ма=н-и,HPL=go-INF,
14,musa,муса,place,
14,b=ac'-inč'-o-wq'aLi,б=ацI-инчI-о-вукъалIи,N=find.PST-NEG-CONV-WHEN,
14,ho=b=e,гьобе,he=HPL=PL,гьо<PRON>><h><pl>
14,hila,гьила,upstairs,
14,b=aXid-u-da,б=ахид-у-да,HPL=go.up.PST-CONV-COP,
14,lamur-a,ламур-а,roof-IN,
15,s̄e=b=a,ссеба,formerly=N,
15,hanq'u-Li,гьанкъу-лIи,house-INTER,
15,hinu,гьину,in,
15,bu=k'-ida,бу=кI-ида,N=be-HAB,
15,bu=k'-a-da,бу=кI-а-да,N=be.PST-CONV-COP,
15,tãwXa,тавуᴴха,fireplace,
16,ho-rdu-di,гьо-рду-ди,he-OBL.HPL-ERG,гьо<PRON>><h><pl>><erg>
16,tãwXa-qi,тавуᴴха-хъи,fireplace-AD,
16,hinu-Xu,гьину-ху,inside-ALL,
16,hant'uk'yarik̄-u-da,гьантIукI'арикк-у-да,listen.PST-CONV-COP,
16,e=b=e-waqi,эбе-вахъи,who=HPL-UPT,э<PRON>><h><pl>><upt>
16,hinu,гьину,inside,
16,ida-L'u,ида-кьу,be.PRS-CIT,
17,musa-di,муса-ди,Musa-ERG,
17,hiL'-u-da,гьикь-у-да,say.PST-CONV-COP,
17,ži=w,жив,self=M,жи<PRON>><m>
17,hinu-wa,гьину-ва,inside-EPT,
17,k'yanc'-ata,кI'анцI-ата,jump-PRS,
17,hinu-s̄u,гьину-ссу,inside-ATTR,
17,adami-ke,адами-ке,man-PL,
17,qam-i(-L'u),хъам-и(-кьу),abduct-INF(-CIT),
18,ʕalik'ya-di,гIаликI'а-ди,Alikja-ERG,
18,hiL'-u-da,гьикь-у-да,say.PST-CONV-COP,
18,ži=w=wa,живва,self=M=EPT,жи<PRON>><m>><ept>
18,k'yanc'-ata-L'u,кI'анцI-ата-кьу,jump-PRS-CIT,
19,musa,муса,Musa,
19,ži=w=wa,живва,self=M=EPT,жи<PRON>><m>><ept>
19,k'yanc'-i-Li-ba:-L'u-la,кI'анцI-и-лIи-ба̄-кьу-ла,jump-INF-FUT-PART.EPT-CIT-AND,
19,hiL'-u,гьикь-у,say.PST-CONV,
19,hiL'i,гьикьи,down,
19,k'yanc'-u-da,кI'анцI-у-да,jump.PST-CONV-COP,
19,tãwXa-qi,тавуᴴха-хъи,fireplace-AD,
20,ʕalik'ya-di,гIаликI'а-ди,Alikja-ERG,
20,hant'uk'yarik̄-u-da,гьантIукI'арикк-у-да,listen.PST-CONV-COP,
20,hinu-Xu,гьину-хъи,inside-ALL,
20,tãwXa-qi,тавуᴴха-хъи,fireplace-AD,
